path,namespace,methods
/wc-analytics/products/attributes/batch,wc-analytics,POST,PUT,PATCH,POST,PUT,PATCH
/wc-analytics/products/attributes/(?P<slug>[a-z0-9_\-]+),wc-analytics,GET,GET
/wc-analytics/products/attributes/(?P<attribute_id>[\d]+)/terms,wc-analytics,GET,POST,GET,POST
/wc-analytics/products/attributes/(?P<attribute_id>[\d]+)/terms/(?P<id>[\d]+),wc-analytics,GET,POST,PUT,PATCH,DELETE,GET,POST,PUT,PATCH,DELETE
/wc-analytics/products/attributes/(?P<attribute_id>[\d]+)/terms/batch,wc-analytics,POST,PUT,PATCH,POST,PUT,PATCH
/wc-analytics/products/attributes/(?P<slug>[a-z0-9_\-]+)/terms,wc-analytics,GET,GET
/wc-analytics/products/categories,wc-analytics,GET,POST,GET,POST
/wc-analytics/products/categories/(?P<id>[\d]+),wc-analytics,GET,POST,PUT,PATCH,DELETE,GET,POST,PUT,PATCH,DELETE
/wc-analytics/products/categories/batch,wc-analytics,POST,PUT,PATCH,POST,PUT,PATCH
/wc-analytics/products/(?P<product_id>[\d]+)/variations,wc-analytics,GET,POST,GET,POST,GET,POST,GET,POST
/wc-analytics/products/(?P<product_id>[\d]+)/variations/(?P<id>[\d]+),wc-analytics,GET,POST,PUT,PATCH,DELETE,GET,POST,PUT,PATCH,DELETE,GET,POST,PUT,PATCH,DELETE,GET,POST,PUT,PATCH,DELETE
/wc-analytics/products/(?P<product_id>[\d]+)/variations/batch,wc-analytics,POST,PUT,PATCH,POST,PUT,PATCH,POST,PUT,PATCH,POST,PUT,PATCH
/wc-analytics/products/(?P<product_id>[\d]+)/variations/generate,wc-analytics,POST,POST,POST,POST
/wc-analytics/variations,wc-analytics,GET,GET,GET,GET
/wc-analytics/products/reviews,wc-analytics,GET,POST,GET,POST
/wc-analytics/products/reviews/(?P<id>[\d]+),wc-analytics,GET,POST,PUT,PATCH,DELETE,GET,POST,PUT,PATCH,DELETE
/wc-analytics/products/reviews/batch,wc-analytics,POST,PUT,PATCH,POST,PUT,PATCH
/wc-analytics/products/low-in-stock,wc-analytics,GET,GET
/wc-analytics/products/count-low-in-stock,wc-analytics,GET,GET
/wc-analytics/settings/(?P<group_id>[\w-]+),wc-analytics,GET,GET
/wc-analytics/settings/(?P<group_id>[\w-]+)/batch,wc-analytics,POST,PUT,PATCH,POST,PUT,PATCH
