route,methods,arg,required,type,enum,default,description,format,pattern
/wc-analytics/products,POST,download_expiry,False,integer,,-1,Number of days until access to downloadable files expires.,,
/wc-analytics/products,POST,external_url,False,string,,,Product external URL. Only for external products.,uri,
/wc-analytics/products,POST,button_text,False,string,,,Product external button text. Only for external products.,,
/wc-analytics/products,POST,tax_status,False,string,"taxable,shipping,none",taxable,Tax status.,,
/wc-analytics/products,POST,tax_class,False,string,,,Tax class.,,
/wc-analytics/products,POST,manage_stock,False,boolean,,False,Stock management at product level.,,
/wc-analytics/products,POST,stock_quantity,False,integer,,,Stock quantity.,,
/wc-analytics/products,POST,stock_status,False,string,"instock,outofstock,onbackorder",instock,Controls the stock status of the product.,,
/wc-analytics/products,POST,backorders,False,string,"no,notify,yes",no,"If managing stock, this controls if backorders are allowed.",,
/wc-analytics/products,POST,low_stock_amount,False,"integer,null",,,Low Stock amount for the product.,,
/wc-analytics/products,POST,sold_individually,False,boolean,,False,Allow one item to be bought in a single order.,,
/wc-analytics/products,POST,weight,False,string,,,Product weight (lbs).,,
/wc-analytics/products,POST,dimensions,False,object,,,Product dimensions.,,
/wc-analytics/products,POST,shipping_class,False,string,,,Shipping class slug.,,
/wc-analytics/products,POST,reviews_allowed,False,boolean,,True,Allow reviews.,,
/wc-analytics/products,POST,post_password,False,string,,,Post password.,,
/wc-analytics/products,POST,upsell_ids,False,array,,,List of up-sell products IDs.,,
/wc-analytics/products,POST,cross_sell_ids,False,array,,,List of cross-sell products IDs.,,
/wc-analytics/products,POST,parent_id,False,integer,,,Product parent ID.,,
/wc-analytics/products,POST,purchase_note,False,string,,,Optional note to send the customer after purchase.,,
/wc-analytics/products,POST,categories,False,array,,,List of categories.,,
/wc-analytics/products,POST,tags,False,array,,,List of tags.,,
/wc-analytics/products,POST,images,False,array,,,List of images.,,
/wc-analytics/products,POST,attributes,False,array,,,List of attributes.,,
/wc-analytics/products,POST,default_attributes,False,array,,,Defaults variation attributes.,,
/wc-analytics/products,POST,menu_order,False,integer,,,"Menu order, used to custom sort products.",,
/wc-analytics/products,POST,meta_data,False,array,,,Meta data.,,
/wc-analytics/products/(?P<id>[\d]+),GET,id,False,integer,,,Unique identifier for the resource.,,
/wc-analytics/products/(?P<id>[\d]+),GET,context,False,string,"view,embed,edit",view,Scope under which the request is made; determines fields present in response.,,
/wc-analytics/products/(?P<id>[\d]+),"POST,PUT,PATCH",id,False,integer,,,Unique identifier for the resource.,,
/wc-analytics/products/(?P<id>[\d]+),"POST,PUT,PATCH",name,False,string,,,Product name.,,
/wc-analytics/products/(?P<id>[\d]+),"POST,PUT,PATCH",slug,False,string,,,Product slug.,,
/wc-analytics/products/(?P<id>[\d]+),"POST,PUT,PATCH",date_created,False,"null,string",,,"The date the product was created, in the site's timezone.",,
/wc-analytics/products/(?P<id>[\d]+),"POST,PUT,PATCH",date_created_gmt,False,"null,string",,,"The date the product was created, as GMT.",,
/wc-analytics/products/(?P<id>[\d]+),"POST,PUT,PATCH",type,False,string,"simple,grouped,external,variable",,Product type.,,
/wc-analytics/products/(?P<id>[\d]+),"POST,PUT,PATCH",status,False,string,"draft,pending,private,publish,future,auto-draft,trash",,Product status (post status).,,
/wc-analytics/products/(?P<id>[\d]+),"POST,PUT,PATCH",featured,False,boolean,,,Featured product.,,
/wc-analytics/products/(?P<id>[\d]+),"POST,PUT,PATCH",catalog_visibility,False,string,"visible,catalog,search,hidden",,Catalog visibility.,,
/wc-analytics/products/(?P<id>[\d]+),"POST,PUT,PATCH",description,False,string,,,Product description.,,
/wc-analytics/products/(?P<id>[\d]+),"POST,PUT,PATCH",short_description,False,string,,,Product short description.,,
/wc-analytics/products/(?P<id>[\d]+),"POST,PUT,PATCH",sku,False,string,,,Stock Keeping Unit.,,
/wc-analytics/products/(?P<id>[\d]+),"POST,PUT,PATCH",global_unique_id,False,string,,,"GTIN, UPC, EAN or ISBN.",,
/wc-analytics/products/(?P<id>[\d]+),"POST,PUT,PATCH",regular_price,False,string,,,Product regular price.,,
/wc-analytics/products/(?P<id>[\d]+),"POST,PUT,PATCH",sale_price,False,string,,,Product sale price.,,
/wc-analytics/products/(?P<id>[\d]+),"POST,PUT,PATCH",date_on_sale_from,False,"null,string",,,"Start date of sale price, in the site's timezone.",,
/wc-analytics/products/(?P<id>[\d]+),"POST,PUT,PATCH",date_on_sale_from_gmt,False,"null,string",,,"Start date of sale price, as GMT.",,
/wc-analytics/products/(?P<id>[\d]+),"POST,PUT,PATCH",date_on_sale_to,False,"null,string",,,"End date of sale price, in the site's timezone.",,
/wc-analytics/products/(?P<id>[\d]+),"POST,PUT,PATCH",date_on_sale_to_gmt,False,"null,string",,,"End date of sale price, in the site's timezone.",,
/wc-analytics/products/(?P<id>[\d]+),"POST,PUT,PATCH",virtual,False,boolean,,,If the product is virtual.,,
/wc-analytics/products/(?P<id>[\d]+),"POST,PUT,PATCH",downloadable,False,boolean,,,If the product is downloadable.,,
/wc-analytics/products/(?P<id>[\d]+),"POST,PUT,PATCH",downloads,False,array,,,List of downloadable files.,,
/wc-analytics/products/(?P<id>[\d]+),"POST,PUT,PATCH",download_limit,False,integer,,,Number of times downloadable files can be downloaded after purchase.,,
/wc-analytics/products/(?P<id>[\d]+),"POST,PUT,PATCH",download_expiry,False,integer,,,Number of days until access to downloadable files expires.,,
/wc-analytics/products/(?P<id>[\d]+),"POST,PUT,PATCH",external_url,False,string,,,Product external URL. Only for external products.,uri,
/wc-analytics/products/(?P<id>[\d]+),"POST,PUT,PATCH",button_text,False,string,,,Product external button text. Only for external products.,,
/wc-analytics/products/(?P<id>[\d]+),"POST,PUT,PATCH",tax_status,False,string,"taxable,shipping,none",,Tax status.,,
/wc-analytics/products/(?P<id>[\d]+),"POST,PUT,PATCH",tax_class,False,string,,,Tax class.,,
/wc-analytics/products/(?P<id>[\d]+),"POST,PUT,PATCH",manage_stock,False,boolean,,,Stock management at product level.,,
/wc-analytics/products/(?P<id>[\d]+),"POST,PUT,PATCH",stock_quantity,False,integer,,,Stock quantity.,,
/wc-analytics/products/(?P<id>[\d]+),"POST,PUT,PATCH",stock_status,False,string,"instock,outofstock,onbackorder",,Controls the stock status of the product.,,
/wc-analytics/products/(?P<id>[\d]+),"POST,PUT,PATCH",backorders,False,string,"no,notify,yes",,"If managing stock, this controls if backorders are allowed.",,
/wc-analytics/products/(?P<id>[\d]+),"POST,PUT,PATCH",low_stock_amount,False,"integer,null",,,Low Stock amount for the product.,,
/wc-analytics/products/(?P<id>[\d]+),"POST,PUT,PATCH",sold_individually,False,boolean,,,Allow one item to be bought in a single order.,,
/wc-analytics/products/(?P<id>[\d]+),"POST,PUT,PATCH",weight,False,string,,,Product weight (lbs).,,
/wc-analytics/products/(?P<id>[\d]+),"POST,PUT,PATCH",dimensions,False,object,,,Product dimensions.,,
/wc-analytics/products/(?P<id>[\d]+),"POST,PUT,PATCH",shipping_class,False,string,,,Shipping class slug.,,
/wc-analytics/products/(?P<id>[\d]+),"POST,PUT,PATCH",reviews_allowed,False,boolean,,,Allow reviews.,,
/wc-analytics/products/(?P<id>[\d]+),"POST,PUT,PATCH",post_password,False,string,,,Post password.,,
/wc-analytics/products/(?P<id>[\d]+),"POST,PUT,PATCH",upsell_ids,False,array,,,List of up-sell products IDs.,,
/wc-analytics/products/(?P<id>[\d]+),"POST,PUT,PATCH",cross_sell_ids,False,array,,,List of cross-sell products IDs.,,
/wc-analytics/products/(?P<id>[\d]+),"POST,PUT,PATCH",parent_id,False,integer,,,Product parent ID.,,
/wc-analytics/products/(?P<id>[\d]+),"POST,PUT,PATCH",purchase_note,False,string,,,Optional note to send the customer after purchase.,,
/wc-analytics/products/(?P<id>[\d]+),"POST,PUT,PATCH",categories,False,array,,,List of categories.,,
/wc-analytics/products/(?P<id>[\d]+),"POST,PUT,PATCH",tags,False,array,,,List of tags.,,
/wc-analytics/products/(?P<id>[\d]+),"POST,PUT,PATCH",images,False,array,,,List of images.,,
/wc-analytics/products/(?P<id>[\d]+),"POST,PUT,PATCH",attributes,False,array,,,List of attributes.,,
/wc-analytics/products/(?P<id>[\d]+),"POST,PUT,PATCH",default_attributes,False,array,,,Defaults variation attributes.,,
/wc-analytics/products/(?P<id>[\d]+),"POST,PUT,PATCH",menu_order,False,integer,,,"Menu order, used to custom sort products.",,
/wc-analytics/products/(?P<id>[\d]+),"POST,PUT,PATCH",meta_data,False,array,,,Meta data.,,
/wc-analytics/products/(?P<id>[\d]+),DELETE,id,False,integer,,,Unique identifier for the resource.,,
/wc-analytics/products/(?P<id>[\d]+),DELETE,force,False,boolean,,False,Whether to bypass trash and force deletion.,,
/wc-analytics/products/(?P<id>[\d]+),GET,id,False,integer,,,Unique identifier for the resource.,,
/wc-analytics/products/(?P<id>[\d]+),GET,context,False,string,"view,embed,edit",view,Scope under which the request is made; determines fields present in response.,,
/wc-analytics/products/(?P<id>[\d]+),"POST,PUT,PATCH",id,False,integer,,,Unique identifier for the resource.,,
/wc-analytics/products/(?P<id>[\d]+),"POST,PUT,PATCH",name,False,string,,,Product name.,,
/wc-analytics/products/(?P<id>[\d]+),"POST,PUT,PATCH",slug,False,string,,,Product slug.,,
/wc-analytics/products/(?P<id>[\d]+),"POST,PUT,PATCH",date_created,False,"null,string",,,"The date the product was created, in the site's timezone.",,
/wc-analytics/products/(?P<id>[\d]+),"POST,PUT,PATCH",date_created_gmt,False,"null,string",,,"The date the product was created, as GMT.",,
/wc-analytics/products/(?P<id>[\d]+),"POST,PUT,PATCH",type,False,string,"simple,grouped,external,variable",,Product type.,,
/wc-analytics/products/(?P<id>[\d]+),"POST,PUT,PATCH",status,False,string,"draft,pending,private,publish,future,auto-draft,trash",,Product status (post status).,,
/wc-analytics/products/(?P<id>[\d]+),"POST,PUT,PATCH",featured,False,boolean,,,Featured product.,,
/wc-analytics/products/(?P<id>[\d]+),"POST,PUT,PATCH",catalog_visibility,False,string,"visible,catalog,search,hidden",,Catalog visibility.,,
/wc-analytics/products/(?P<id>[\d]+),"POST,PUT,PATCH",description,False,string,,,Product description.,,
/wc-analytics/products/(?P<id>[\d]+),"POST,PUT,PATCH",short_description,False,string,,,Product short description.,,
/wc-analytics/products/(?P<id>[\d]+),"POST,PUT,PATCH",sku,False,string,,,Stock Keeping Unit.,,
/wc-analytics/products/(?P<id>[\d]+),"POST,PUT,PATCH",global_unique_id,False,string,,,"GTIN, UPC, EAN or ISBN.",,
/wc-analytics/products/(?P<id>[\d]+),"POST,PUT,PATCH",regular_price,False,string,,,Product regular price.,,
/wc-analytics/products/(?P<id>[\d]+),"POST,PUT,PATCH",sale_price,False,string,,,Product sale price.,,
/wc-analytics/products/(?P<id>[\d]+),"POST,PUT,PATCH",date_on_sale_from,False,"null,string",,,"Start date of sale price, in the site's timezone.",,
/wc-analytics/products/(?P<id>[\d]+),"POST,PUT,PATCH",date_on_sale_from_gmt,False,"null,string",,,"Start date of sale price, as GMT.",,
/wc-analytics/products/(?P<id>[\d]+),"POST,PUT,PATCH",date_on_sale_to,False,"null,string",,,"End date of sale price, in the site's timezone.",,
/wc-analytics/products/(?P<id>[\d]+),"POST,PUT,PATCH",date_on_sale_to_gmt,False,"null,string",,,"End date of sale price, in the site's timezone.",,
/wc-analytics/products/(?P<id>[\d]+),"POST,PUT,PATCH",virtual,False,boolean,,,If the product is virtual.,,
/wc-analytics/products/(?P<id>[\d]+),"POST,PUT,PATCH",downloadable,False,boolean,,,If the product is downloadable.,,
/wc-analytics/products/(?P<id>[\d]+),"POST,PUT,PATCH",downloads,False,array,,,List of downloadable files.,,
/wc-analytics/products/(?P<id>[\d]+),"POST,PUT,PATCH",download_limit,False,integer,,,Number of times downloadable files can be downloaded after purchase.,,
/wc-analytics/products/(?P<id>[\d]+),"POST,PUT,PATCH",download_expiry,False,integer,,,Number of days until access to downloadable files expires.,,
/wc-analytics/products/(?P<id>[\d]+),"POST,PUT,PATCH",external_url,False,string,,,Product external URL. Only for external products.,uri,
/wc-analytics/products/(?P<id>[\d]+),"POST,PUT,PATCH",button_text,False,string,,,Product external button text. Only for external products.,,
/wc-analytics/products/(?P<id>[\d]+),"POST,PUT,PATCH",tax_status,False,string,"taxable,shipping,none",,Tax status.,,
/wc-analytics/products/(?P<id>[\d]+),"POST,PUT,PATCH",tax_class,False,string,,,Tax class.,,
/wc-analytics/products/(?P<id>[\d]+),"POST,PUT,PATCH",manage_stock,False,boolean,,,Stock management at product level.,,
/wc-analytics/products/(?P<id>[\d]+),"POST,PUT,PATCH",stock_quantity,False,integer,,,Stock quantity.,,
/wc-analytics/products/(?P<id>[\d]+),"POST,PUT,PATCH",stock_status,False,string,"instock,outofstock,onbackorder",,Controls the stock status of the product.,,
/wc-analytics/products/(?P<id>[\d]+),"POST,PUT,PATCH",backorders,False,string,"no,notify,yes",,"If managing stock, this controls if backorders are allowed.",,
/wc-analytics/products/(?P<id>[\d]+),"POST,PUT,PATCH",low_stock_amount,False,"integer,null",,,Low Stock amount for the product.,,
/wc-analytics/products/(?P<id>[\d]+),"POST,PUT,PATCH",sold_individually,False,boolean,,,Allow one item to be bought in a single order.,,
/wc-analytics/products/(?P<id>[\d]+),"POST,PUT,PATCH",weight,False,string,,,Product weight (lbs).,,
/wc-analytics/products/(?P<id>[\d]+),"POST,PUT,PATCH",dimensions,False,object,,,Product dimensions.,,
/wc-analytics/products/(?P<id>[\d]+),"POST,PUT,PATCH",shipping_class,False,string,,,Shipping class slug.,,
/wc-analytics/products/(?P<id>[\d]+),"POST,PUT,PATCH",reviews_allowed,False,boolean,,,Allow reviews.,,
/wc-analytics/products/(?P<id>[\d]+),"POST,PUT,PATCH",post_password,False,string,,,Post password.,,
/wc-analytics/products/(?P<id>[\d]+),"POST,PUT,PATCH",upsell_ids,False,array,,,List of up-sell products IDs.,,
/wc-analytics/products/(?P<id>[\d]+),"POST,PUT,PATCH",cross_sell_ids,False,array,,,List of cross-sell products IDs.,,
/wc-analytics/products/(?P<id>[\d]+),"POST,PUT,PATCH",parent_id,False,integer,,,Product parent ID.,,
/wc-analytics/products/(?P<id>[\d]+),"POST,PUT,PATCH",purchase_note,False,string,,,Optional note to send the customer after purchase.,,
/wc-analytics/products/(?P<id>[\d]+),"POST,PUT,PATCH",categories,False,array,,,List of categories.,,
/wc-analytics/products/(?P<id>[\d]+),"POST,PUT,PATCH",tags,False,array,,,List of tags.,,
/wc-analytics/products/(?P<id>[\d]+),"POST,PUT,PATCH",images,False,array,,,List of images.,,
/wc-analytics/products/(?P<id>[\d]+),"POST,PUT,PATCH",attributes,False,array,,,List of attributes.,,
/wc-analytics/products/(?P<id>[\d]+),"POST,PUT,PATCH",default_attributes,False,array,,,Defaults variation attributes.,,
/wc-analytics/products/(?P<id>[\d]+),"POST,PUT,PATCH",menu_order,False,integer,,,"Menu order, used to custom sort products.",,
/wc-analytics/products/(?P<id>[\d]+),"POST,PUT,PATCH",meta_data,False,array,,,Meta data.,,
/wc-analytics/products/(?P<id>[\d]+),DELETE,id,False,integer,,,Unique identifier for the resource.,,
/wc-analytics/products/(?P<id>[\d]+),DELETE,force,False,boolean,,False,Whether to bypass trash and force deletion.,,
/wc-analytics/products/batch,"POST,PUT,PATCH",name,False,string,,,Product name.,,
/wc-analytics/products/batch,"POST,PUT,PATCH",slug,False,string,,,Product slug.,,
/wc-analytics/products/batch,"POST,PUT,PATCH",date_created,False,"null,string",,,"The date the product was created, in the site's timezone.",,
/wc-analytics/products/batch,"POST,PUT,PATCH",date_created_gmt,False,"null,string",,,"The date the product was created, as GMT.",,
/wc-analytics/products/batch,"POST,PUT,PATCH",type,False,string,"simple,grouped,external,variable",,Product type.,,
/wc-analytics/products/batch,"POST,PUT,PATCH",status,False,string,"draft,pending,private,publish,future,auto-draft,trash",,Product status (post status).,,
/wc-analytics/products/batch,"POST,PUT,PATCH",featured,False,boolean,,,Featured product.,,
/wc-analytics/products/batch,"POST,PUT,PATCH",catalog_visibility,False,string,"visible,catalog,search,hidden",,Catalog visibility.,,
/wc-analytics/products/batch,"POST,PUT,PATCH",description,False,string,,,Product description.,,
/wc-analytics/products/batch,"POST,PUT,PATCH",short_description,False,string,,,Product short description.,,
/wc-analytics/products/batch,"POST,PUT,PATCH",sku,False,string,,,Stock Keeping Unit.,,
/wc-analytics/products/batch,"POST,PUT,PATCH",global_unique_id,False,string,,,"GTIN, UPC, EAN or ISBN.",,
/wc-analytics/products/batch,"POST,PUT,PATCH",regular_price,False,string,,,Product regular price.,,
/wc-analytics/products/batch,"POST,PUT,PATCH",sale_price,False,string,,,Product sale price.,,
/wc-analytics/products/batch,"POST,PUT,PATCH",date_on_sale_from,False,"null,string",,,"Start date of sale price, in the site's timezone.",,
/wc-analytics/products/batch,"POST,PUT,PATCH",date_on_sale_from_gmt,False,"null,string",,,"Start date of sale price, as GMT.",,
/wc-analytics/products/batch,"POST,PUT,PATCH",date_on_sale_to,False,"null,string",,,"End date of sale price, in the site's timezone.",,
/wc-analytics/products/batch,"POST,PUT,PATCH",date_on_sale_to_gmt,False,"null,string",,,"End date of sale price, in the site's timezone.",,
/wc-analytics/products/batch,"POST,PUT,PATCH",virtual,False,boolean,,,If the product is virtual.,,
/wc-analytics/products/batch,"POST,PUT,PATCH",downloadable,False,boolean,,,If the product is downloadable.,,
/wc-analytics/products/batch,"POST,PUT,PATCH",downloads,False,array,,,List of downloadable files.,,
/wc-analytics/products/batch,"POST,PUT,PATCH",download_limit,False,integer,,,Number of times downloadable files can be downloaded after purchase.,,
/wc-analytics/products/batch,"POST,PUT,PATCH",download_expiry,False,integer,,,Number of days until access to downloadable files expires.,,
/wc-analytics/products/batch,"POST,PUT,PATCH",external_url,False,string,,,Product external URL. Only for external products.,uri,
/wc-analytics/products/batch,"POST,PUT,PATCH",button_text,False,string,,,Product external button text. Only for external products.,,
/wc-analytics/products/batch,"POST,PUT,PATCH",tax_status,False,string,"taxable,shipping,none",,Tax status.,,
/wc-analytics/products/batch,"POST,PUT,PATCH",tax_class,False,string,,,Tax class.,,
/wc-analytics/products/batch,"POST,PUT,PATCH",manage_stock,False,boolean,,,Stock management at product level.,,
/wc-analytics/products/batch,"POST,PUT,PATCH",stock_quantity,False,integer,,,Stock quantity.,,
/wc-analytics/products/batch,"POST,PUT,PATCH",stock_status,False,string,"instock,outofstock,onbackorder",,Controls the stock status of the product.,,
/wc-analytics/products/batch,"POST,PUT,PATCH",backorders,False,string,"no,notify,yes",,"If managing stock, this controls if backorders are allowed.",,
/wc-analytics/products/batch,"POST,PUT,PATCH",low_stock_amount,False,"integer,null",,,Low Stock amount for the product.,,
/wc-analytics/products/batch,"POST,PUT,PATCH",sold_individually,False,boolean,,,Allow one item to be bought in a single order.,,
/wc-analytics/products/batch,"POST,PUT,PATCH",weight,False,string,,,Product weight (lbs).,,
/wc-analytics/products/batch,"POST,PUT,PATCH",dimensions,False,object,,,Product dimensions.,,
/wc-analytics/products/batch,"POST,PUT,PATCH",shipping_class,False,string,,,Shipping class slug.,,
/wc-analytics/products/batch,"POST,PUT,PATCH",reviews_allowed,False,boolean,,,Allow reviews.,,
/wc-analytics/products/batch,"POST,PUT,PATCH",post_password,False,string,,,Post password.,,
/wc-analytics/products/batch,"POST,PUT,PATCH",upsell_ids,False,array,,,List of up-sell products IDs.,,
/wc-analytics/products/batch,"POST,PUT,PATCH",cross_sell_ids,False,array,,,List of cross-sell products IDs.,,
/wc-analytics/products/batch,"POST,PUT,PATCH",parent_id,False,integer,,,Product parent ID.,,
/wc-analytics/products/batch,"POST,PUT,PATCH",purchase_note,False,string,,,Optional note to send the customer after purchase.,,
/wc-analytics/products/batch,"POST,PUT,PATCH",categories,False,array,,,List of categories.,,
/wc-analytics/products/batch,"POST,PUT,PATCH",tags,False,array,,,List of tags.,,
/wc-analytics/products/batch,"POST,PUT,PATCH",images,False,array,,,List of images.,,
/wc-analytics/products/batch,"POST,PUT,PATCH",attributes,False,array,,,List of attributes.,,
/wc-analytics/products/batch,"POST,PUT,PATCH",default_attributes,False,array,,,Defaults variation attributes.,,
/wc-analytics/products/batch,"POST,PUT,PATCH",menu_order,False,integer,,,"Menu order, used to custom sort products.",,
/wc-analytics/products/batch,"POST,PUT,PATCH",meta_data,False,array,,,Meta data.,,
/wc-analytics/products/batch,"POST,PUT,PATCH",name,False,string,,,Product name.,,
/wc-analytics/products/batch,"POST,PUT,PATCH",slug,False,string,,,Product slug.,,
/wc-analytics/products/batch,"POST,PUT,PATCH",date_created,False,"null,string",,,"The date the product was created, in the site's timezone.",,
/wc-analytics/products/batch,"POST,PUT,PATCH",date_created_gmt,False,"null,string",,,"The date the product was created, as GMT.",,
/wc-analytics/products/batch,"POST,PUT,PATCH",type,False,string,"simple,grouped,external,variable",,Product type.,,
/wc-analytics/products/batch,"POST,PUT,PATCH",status,False,string,"draft,pending,private,publish,future,auto-draft,trash",,Product status (post status).,,
/wc-analytics/products/batch,"POST,PUT,PATCH",featured,False,boolean,,,Featured product.,,
/wc-analytics/products/batch,"POST,PUT,PATCH",catalog_visibility,False,string,"visible,catalog,search,hidden",,Catalog visibility.,,
/wc-analytics/products/batch,"POST,PUT,PATCH",description,False,string,,,Product description.,,
/wc-analytics/products/batch,"POST,PUT,PATCH",short_description,False,string,,,Product short description.,,
/wc-analytics/products/batch,"POST,PUT,PATCH",sku,False,string,,,Stock Keeping Unit.,,
/wc-analytics/products/batch,"POST,PUT,PATCH",global_unique_id,False,string,,,"GTIN, UPC, EAN or ISBN.",,
/wc-analytics/products/batch,"POST,PUT,PATCH",regular_price,False,string,,,Product regular price.,,
/wc-analytics/products/batch,"POST,PUT,PATCH",sale_price,False,string,,,Product sale price.,,
/wc-analytics/products/batch,"POST,PUT,PATCH",date_on_sale_from,False,"null,string",,,"Start date of sale price, in the site's timezone.",,
/wc-analytics/products/batch,"POST,PUT,PATCH",date_on_sale_from_gmt,False,"null,string",,,"Start date of sale price, as GMT.",,
/wc-analytics/products/batch,"POST,PUT,PATCH",date_on_sale_to,False,"null,string",,,"End date of sale price, in the site's timezone.",,
/wc-analytics/products/batch,"POST,PUT,PATCH",date_on_sale_to_gmt,False,"null,string",,,"End date of sale price, in the site's timezone.",,
/wc-analytics/products/batch,"POST,PUT,PATCH",virtual,False,boolean,,,If the product is virtual.,,
/wc-analytics/products/batch,"POST,PUT,PATCH",downloadable,False,boolean,,,If the product is downloadable.,,
/wc-analytics/products/batch,"POST,PUT,PATCH",downloads,False,array,,,List of downloadable files.,,
/wc-analytics/products/batch,"POST,PUT,PATCH",download_limit,False,integer,,,Number of times downloadable files can be downloaded after purchase.,,
/wc-analytics/products/batch,"POST,PUT,PATCH",download_expiry,False,integer,,,Number of days until access to downloadable files expires.,,
/wc-analytics/products/batch,"POST,PUT,PATCH",external_url,False,string,,,Product external URL. Only for external products.,uri,
/wc-analytics/products/batch,"POST,PUT,PATCH",button_text,False,string,,,Product external button text. Only for external products.,,
/wc-analytics/products/batch,"POST,PUT,PATCH",tax_status,False,string,"taxable,shipping,none",,Tax status.,,
/wc-analytics/products/batch,"POST,PUT,PATCH",tax_class,False,string,,,Tax class.,,
/wc-analytics/products/batch,"POST,PUT,PATCH",manage_stock,False,boolean,,,Stock management at product level.,,
/wc-analytics/products/batch,"POST,PUT,PATCH",stock_quantity,False,integer,,,Stock quantity.,,
/wc-analytics/products/batch,"POST,PUT,PATCH",stock_status,False,string,"instock,outofstock,onbackorder",,Controls the stock status of the product.,,
/wc-analytics/products/batch,"POST,PUT,PATCH",backorders,False,string,"no,notify,yes",,"If managing stock, this controls if backorders are allowed.",,
/wc-analytics/products/batch,"POST,PUT,PATCH",low_stock_amount,False,"integer,null",,,Low Stock amount for the product.,,
/wc-analytics/products/batch,"POST,PUT,PATCH",sold_individually,False,boolean,,,Allow one item to be bought in a single order.,,
/wc-analytics/products/batch,"POST,PUT,PATCH",weight,False,string,,,Product weight (lbs).,,
/wc-analytics/products/batch,"POST,PUT,PATCH",dimensions,False,object,,,Product dimensions.,,
/wc-analytics/products/batch,"POST,PUT,PATCH",shipping_class,False,string,,,Shipping class slug.,,
/wc-analytics/products/batch,"POST,PUT,PATCH",reviews_allowed,False,boolean,,,Allow reviews.,,
/wc-analytics/products/batch,"POST,PUT,PATCH",post_password,False,string,,,Post password.,,
/wc-analytics/products/batch,"POST,PUT,PATCH",upsell_ids,False,array,,,List of up-sell products IDs.,,
/wc-analytics/products/batch,"POST,PUT,PATCH",cross_sell_ids,False,array,,,List of cross-sell products IDs.,,
/wc-analytics/products/batch,"POST,PUT,PATCH",parent_id,False,integer,,,Product parent ID.,,
/wc-analytics/products/batch,"POST,PUT,PATCH",purchase_note,False,string,,,Optional note to send the customer after purchase.,,
/wc-analytics/products/batch,"POST,PUT,PATCH",categories,False,array,,,List of categories.,,
/wc-analytics/products/batch,"POST,PUT,PATCH",tags,False,array,,,List of tags.,,
/wc-analytics/products/batch,"POST,PUT,PATCH",images,False,array,,,List of images.,,
/wc-analytics/products/batch,"POST,PUT,PATCH",attributes,False,array,,,List of attributes.,,
/wc-analytics/products/batch,"POST,PUT,PATCH",default_attributes,False,array,,,Defaults variation attributes.,,
/wc-analytics/products/batch,"POST,PUT,PATCH",menu_order,False,integer,,,"Menu order, used to custom sort products.",,
/wc-analytics/products/batch,"POST,PUT,PATCH",meta_data,False,array,,,Meta data.,,
/wc-analytics/products/suggested-products,GET,context,False,string,"view,embed,edit",view,Scope under which the request is made; determines fields present in response.,,
/wc-analytics/products/suggested-products,GET,page,False,integer,,1,Current page of the collection.,,
/wc-analytics/products/suggested-products,GET,per_page,False,integer,,10,Maximum number of items to be returned in result set.,,
/wc-analytics/products/suggested-products,GET,search,False,string,,,Limit results to those matching a string.,,
/wc-analytics/products/suggested-products,GET,after,False,string,,,Limit response to resources published after a given ISO8601 compliant date.,date-time,
/wc-analytics/products/suggested-products,GET,before,False,string,,,Limit response to resources published before a given ISO8601 compliant date.,date-time,
/wc-analytics/products/suggested-products,GET,modified_after,False,string,,,Limit response to resources modified after a given ISO8601 compliant date.,date-time,
/wc-analytics/products/suggested-products,GET,modified_before,False,string,,,Limit response to resources modified before a given ISO8601 compliant date.,date-time,
/wc-analytics/products/suggested-products,GET,dates_are_gmt,False,boolean,,False,Whether to consider GMT post dates when limiting response by published or modified date.,,
/wc-analytics/products/suggested-products,GET,exclude,False,array,,[],Ensure result set excludes specific IDs.,,
/wc-analytics/products/suggested-products,GET,include,False,array,,[],Limit result set to specific ids.,,
/wc-analytics/products/suggested-products,GET,offset,False,integer,,,Offset the result set by a specific number of items.,,
/wc-analytics/products/suggested-products,GET,order,False,string,"asc,desc",desc,Order sort attribute ascending or descending.,,
/wc-analytics/products/suggested-products,GET,orderby,False,string,"date,id,include,title,slug,modified,popularity,rating,post__in,price,sales,menu_order,random,popularity,rating,menu_order",date,Sort collection by object attribute.,,
/wc-analytics/products/suggested-products,GET,parent,False,array,,[],Limit result set to those of particular parent IDs.,,
/wc-analytics/products/suggested-products,GET,parent_exclude,False,array,,[],Limit result set to all items except those of a particular parent ID.,,
/wc-analytics/products/suggested-products,GET,brand,False,string,,,Limit result set to products assigned a specific brand ID.,,
/wc-analytics/products/suggested-products,GET,slug,False,string,,,Limit result set to products with a specific slug.,,
/wc-analytics/products/suggested-products,GET,status,False,string,"any,future,trash,draft,pending,private,publish",any,Limit result set to products assigned a specific status.,,
/wc-analytics/products/suggested-products,GET,type,False,string,"simple,grouped,external,variable",,Limit result set to products assigned a specific type.,,
/wc-analytics/products/suggested-products,GET,sku,False,string,,,Limit result set to products with specific SKU(s). Use commas to separate.,,
/wc-analytics/products/suggested-products,GET,featured,False,boolean,,,Limit result set to featured products.,,
/wc-analytics/products/suggested-products,GET,category,False,string,,,Limit result set to products assigned a specific category ID.,,
